,0,1,2,3,4,5,6,7,8,9,10,11,12
remaining_shares,50000.0,44557.0,39361.0,35099.0,31381.0,28164.0,25130.0,22362.0,19789.0,17147.0,14039.0,10679.0,6542.0
static_bucket,0.1088713924631583,0.09376916970758768,0.07974927707474536,0.07091888879538419,0.06231479477603605,0.060042055027745754,0.05535344057507028,0.05284955545543939,0.055358986452365845,0.06533652222995115,0.07048244112472599,0.08509494341689658,0.13985853290089348
vol_fraction,0.1088713924631583,0.10392545994823427,0.08525488334685684,0.07437689098145123,0.06434572124707608,0.060696312689143564,0.055361228256932425,0.051473037752909324,0.05285897416321834,0.062171629285220104,0.06720130549675293,0.08275802540670461,0.13084
my_current_trade,5443.0,5196.0,4262.0,3718.0,3217.0,3034.0,2768.0,2573.0,2642.0,3108.0,3360.0,4137.0,6542.0
executed_volume_till_now,5443.0,10639.0,14901.0,18619.0,21836.0,24870.0,27638.0,30211.0,32853.0,35961.0,39321.0,43458.0,50000.0
kappa,-0.040040040040040026,-0.040040040040040026,-0.040040040040040026,-0.040040040040040026,-0.040040040040040026,-0.040040040040040026,-2.6026026026026017,-0.040040040040040026,-9.00900900900901,-0.040040040040040026,-40.0,1e-06,1e-06
cost,9.33022060507483,16.340171433215307,12.766281478881439,1.1932498019472286,4.031264959633787,11.94926878712406,0.9642887981933425,0.23666044404199216,0.06352599367624609,0.15214630359156717,1.9721522630525295e-31,0.0,0.0
market_current_trade,5712.0,3543.0,3018.0,3322.0,2627.0,3230.0,2308.0,1939.0,3541.0,2970.0,3405.0,3111.0,5867.0
market_volume_fraction,0.11424,0.07086,0.06036,0.06644,0.05254,0.0646,0.04616,0.03878,0.07082,0.0594,0.0681,0.06222,0.11734
impact,0.4594417743866221,0.6594378858185006,0.615278134775689,0.5753346725512031,0.5396946451056546,0.5074794283858401,0.16644485404983644,0.2924682902658139,0.14604959656268934,0.2537671105001046,0.12688355525005213,0.2034941673679189,0.2610200037809465
curr_rate,4187.398215662127,3663.096586142455,3180.6364702320443,2791.482973685141,2459.7718456532643,2178.8293665373535,0.010809974138339007,1692.559782275273,8.92478308515346e-27,1277.479594754456,1.0754826387307172e-168,821.4615384400436,503.23076921684645
market_price,153.24400329589844,157.0499265609571,155.96420664371027,161.01501809356523,173.27655208789415,171.24788761630393,169.2431146517811,182.60665943150508,189.6135940426218,185.16265776121784,190.18575074448884,185.778978653698,181.45283875635198
my_execution_price,153.70344507028506,157.7093644467756,156.57948477848595,161.59035276611644,173.8162467329998,171.75536704468976,169.40955950583094,182.8991277217709,189.75964363918447,185.41642487171794,190.3126342997389,185.98247282106593,181.71385876013292
